"A11.bam"	"A12.bam"	"A13.bam"	"B11.bam"	"B12.bam"	"B13.bam"	"C21.bam"	"C23.bam"	"C24.bam"	"C25.bam"	"D22.bam"	"D23.bam"	"D24.bam"	"D25.bam"	"E32.bam"	"E33.bam"	"E34.bam"	"E35.bam"	"H31.bam"	"H33.bam"	"H34.bam"	"H35.bam"	"J41.bam"	"J43.bam"	"J44.bam"	"J45.bam"	"K41.bam"	"K43.bam"	"K44.bam"	"K45.bam"	"L52.bam"	"L53.bam"	"L54.bam"	"L55.bam"	"P51.bam"	"P52.bam"	"P53.bam"	"P55.bam"
"128up"	5119	4784	3753	4981	5261	5212	6459	5048	5127	4414	4265	4306	4751	4920	4896	3422	3912	4557	3311	3651	4161	4224	3083	2263	2860	2846	3641	2914	2841	2714	1868	2225	1961	1977	2328	1943	2276	1564
"1360{}115"	28	64	37	58	40	39	20	34	25	19	37	4	59	42	20	13	23	32	16	23	14	45	78	47	58	110	0	17	12	31	95	111	96	89	93	92	69	54
"1360{}1180"	70	129	70	89	258	299	131	73	50	271	65	132	77	118	45	60	101	92	109	145	85	51	47	24	75	146	155	120	88	90	40	76	106	9	70	109	75	65
"1360{}1206"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	11	17	43	54	0	1	0	5	224	190	172	143	20	18	7	3
"1360{}1226"	106	100	90	139	143	145	117	188	152	80	83	108	99	148	107	73	171	58	113	148	159	143	74	124	114	119	113	65	44	87	164	92	65	85	115	96	79	62
"1360{}1504"	109	96	77	106	155	130	74	160	92	78	92	105	131	130	79	105	105	97	91	67	115	57	137	40	105	278	97	56	118	77	210	205	195	148	175	169	133	105
"1360{}1514"	102	135	46	158	152	119	54	112	67	56	68	109	79	115	73	58	93	92	111	70	130	62	124	94	116	169	82	67	98	80	252	280	226	149	138	103	103	127
"1360{}1536"	64	43	9	91	40	77	65	69	37	63	76	75	83	46	49	75	47	61	66	54	53	42	49	17	59	98	46	48	46	24	73	61	48	97	61	47	84	56
"1360{}1539"	348	380	176	537	257	429	382	444	330	282	236	281	502	374	253	248	227	333	530	468	469	361	446	340	451	523	284	293	262	258	592	399	401	469	531	410	406	353
"1360{}154"	360	417	101	413	356	397	470	404	294	425	177	338	461	450	271	303	309	448	298	363	284	279	417	358	456	442	295	240	274	335	661	764	692	468	373	395	363	323
"1360{}1546"	60	64	7	63	57	73	145	41	35	40	29	68	93	79	28	30	11	36	42	55	24	32	46	56	71	115	55	25	28	38	166	234	128	99	122	65	106	55
"1360{}1617"	499	424	438	467	890	689	380	523	517	348	409	345	471	371	315	238	311	263	301	403	408	334	837	579	647	1182	352	343	202	334	656	621	622	689	476	320	443	319
"1360{}1627"	56	90	4	85	36	76	33	48	57	50	51	76	80	42	62	56	44	55	43	27	34	49	60	59	53	119	49	62	42	42	90	81	73	49	63	62	70	45
"1360{}1718"	523	556	313	826	772	814	968	720	775	633	650	848	849	872	764	803	618	723	673	706	646	713	921	839	944	925	611	695	534	709	805	677	608	652	953	566	814	567
"1360{}2084"	5	173	3	36	16	22	14	10	7	7	20	10	27	20	36	5	4	24	477	633	1040	760	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"1360{}2787"	26	77	0	58	16	33	50	27	55	35	19	47	58	14	40	54	15	43	41	75	15	19	49	20	23	87	26	13	21	17	80	93	102	88	32	32	48	11
"1360{}2825"	82	98	22	91	42	108	77	88	76	48	29	65	68	75	66	68	47	86	77	53	55	51	102	73	69	105	66	34	29	68	170	204	111	121	85	113	91	63
"1360{}2914"	30	39	10	23	13	49	40	46	37	15	10	49	33	64	52	29	18	44	32	71	41	12	50	17	42	22	19	2	15	29	77	120	81	32	55	44	75	43
"1360{}3655"	82	106	17	79	19	86	67	59	123	61	32	56	71	92	59	68	48	95	29	61	71	38	45	80	57	142	34	69	29	50	142	74	166	102	59	68	50	40
"1360{}3897"	99	176	94	218	173	189	173	186	198	149	119	156	162	215	124	97	66	200	50	96	175	111	59	61	73	192	106	90	150	144	200	214	133	141	115	124	145	94
"1360{}4126"	31	15	9	11	36	14	43	20	14	2	0	14	5	0	16	9	41	8	9	20	14	9	58	49	45	118	4	30	20	11	140	72	154	96	27	73	43	44
"1360{}4747"	91	68	31	138	141	83	45	89	53	88	51	48	71	52	72	157	79	52	57	45	43	26	216	135	201	261	67	68	59	97	339	375	236	211	144	201	197	162
"1360{}4770"	29	47	24	73	45	143	8	41	58	45	13	75	130	53	61	28	13	45	13	35	43	45	28	17	22	64	22	57	59	87	28	92	42	36	57	36	50	37
"1360{}4814"	14	34	0	46	11	35	76	63	60	45	14	25	80	72	78	64	39	69	36	34	42	29	31	28	67	36	26	65	64	51	42	22	42	33	50	53	88	56
"1360{}5004"	80	125	69	131	54	182	42	96	109	98	40	110	116	166	44	89	104	73	17	21	40	75	37	83	79	115	32	29	18	82	329	24	169	56	113	151	42	22
"1360{}5308"	47	70	40	51	66	58	48	53	57	42	30	39	83	47	22	35	34	49	32	93	44	28	32	44	52	31	85	48	53	74	65	40	83	41	48	60	58	33
"1360{}5894"	65	107	31	224	91	95	123	106	155	63	30	32	97	68	98	95	49	92	32	54	24	42	120	83	81	65	38	57	21	21	107	244	227	207	141	47	62	95
"1360{}6325"	448	407	101	470	436	535	477	490	511	408	349	573	471	469	372	422	319	446	316	385	418	293	465	276	494	400	272	371	337	286	607	655	527	405	417	360	379	320
"1360{}6335"	42	63	25	69	26	43	74	67	69	27	25	25	41	21	16	7	12	47	27	30	24	40	22	29	28	35	45	41	9	4	36	36	31	15	13	32	27	22
"1360{}6360"	277	317	75	376	241	333	300	243	187	237	180	333	365	267	200	147	140	143	181	192	219	152	208	157	263	232	199	130	145	188	464	302	274	312	261	204	258	195
"1360{}6371"	237	246	131	232	202	207	283	266	206	181	161	193	240	202	217	205	121	158	167	178	242	177	213	139	169	118	241	190	130	125	189	223	184	171	161	147	135	137
"1360{}6387"	43	61	1	99	18	52	47	37	60	45	62	24	57	22	52	49	40	72	18	47	29	41	52	36	36	53	28	73	29	32	95	114	157	87	60	94	56	34
"1360{}747"	7	0	8	3	7	0	28	1	6	9	5	13	16	9	19	13	35	21	27	1	6	10	43	24	77	84	23	46	69	27	110	68	84	92	56	66	166	82
"1360{}907"	236	308	132	387	286	337	233	264	268	264	295	341	349	377	134	145	100	203	227	244	280	205	167	200	259	175	303	170	217	181	406	278	315	251	227	235	250	146
"1360{}Eph[1520]"	72	97	81	110	60	142	60	73	97	89	80	110	124	92	39	105	97	103	56	68	138	72	90	74	138	244	37	97	85	163	232	209	158	186	106	133	148	110
"1360{}RR46410"	31	40	19	63	13	43	50	82	49	30	7	65	83	103	60	34	31	40	60	70	16	23	21	13	30	44	28	20	49	27	93	34	64	74	69	36	52	28
"14-3-3epsilon"	51113	53843	21936	63626	58317	64485	76216	67341	67367	56657	47546	57409	67710	61315	54854	53149	53726	60349	41603	50521	48912	47805	63077	49918	56549	62898	47683	47217	43370	51130	68719	68334	71827	62295	55785	49853	52467	43911
"14-3-3zeta"	102727	106372	51495	103180	103386	109430	117071	101355	99166	80777	79344	93718	112062	98848	90363	89193	89991	100679	73204	88505	89208	77927	66688	53605	64372	71828	74302	63357	60342	68125	61021	59894	59997	61393	68649	54782	60448	48814
"140up"	1706	1686	1019	1673	1787	1680	1960	1688	1607	1518	1500	1531	1983	1989	1441	1259	1440	1641	1318	1491	1550	1426	1276	949	996	1115	1217	1253	1203	931	1059	850	901	897	1072	944	924	795
"17.6{}1116"	13	18	621	36	31	54	46	38	38	51	24	17	7	26	48	86	34	51	56	78	35	24	74	86	43	172	29	80	52	83	195	110	151	133	99	82	100	101
"17.6{}1213"	128	239	819	413	152	350	164	167	192	140	87	150	161	206	140	138	109	249	189	73	45	85	147	84	131	170	88	118	105	55	482	288	340	323	240	168	189	112
"17.6{}1287"	155	215	236	309	272	304	261	166	216	160	240	194	281	307	120	150	137	160	99	136	136	132	35	59	52	82	215	166	110	103	26	6	7	23	95	32	52	52
"17.6{}3013"	6	18	477	34	15	32	47	13	22	33	7	13	14	24	7	14	28	64	22	16	5	7	36	20	33	36	11	38	29	22	50	79	43	93	71	28	38	28
"17.6{}6492"	10	24	1051	57	7	57	96	10	36	42	35	29	12	58	43	34	26	14	61	29	7	14	16	47	11	51	107	72	69	31	37	28	40	29	15	22	62	22
"17.6{}804"	33	64	1296	80	42	68	74	28	58	69	35	26	49	119	28	73	30	28	97	27	27	34	31	81	25	30	147	72	76	57	9	16	12	25	25	25	27	12
"18w"	1092	1316	401	1941	1051	1448	1498	1403	1295	1094	812	1022	1251	1124	931	737	829	888	1449	1143	1030	1007	2085	1310	1618	1669	648	877	712	981	3709	2637	3700	2826	1610	1822	1744	1294
"297{}1440"	3	15	523	29	7	26	82	18	73	51	3	6	5	48	12	26	14	27	84	2	1	0	3	5	1	1	43	44	39	0	0	1	1	0	0	9	2	1
"297{}1646"	58	53	36	45	47	89	53	63	62	49	38	48	58	59	58	62	46	97	31	31	38	28	27	33	30	38	45	47	41	33	95	35	77	34	34	22	54	31
"297{}4042"	24	31	593	75	3	31	78	3	159	89	0	1	0	66	5	50	34	21	93	10	0	1	17	31	4	0	119	73	76	22	8	30	18	17	2	10	0	1
"297{}4292"	48	22	16	84	24	16	24	77	95	39	28	86	65	64	48	115	29	82	51	75	69	60	130	87	120	288	38	95	91	96	59	257	84	46	146	175	154	156
"297{}4620"	12	39	806	76	1	25	92	6	101	110	0	10	28	31	12	72	20	34	70	23	7	5	41	4	43	34	39	64	33	10	33	7	36	14	23	23	19	8
"297{}518"	151	174	56	112	104	106	98	155	153	176	164	141	135	144	183	146	288	262	110	119	152	87	73	24	99	139	132	140	142	144	10	0	3	13	97	49	144	53
"297{}6499"	45	62	135	83	37	59	85	61	93	171	18	33	52	37	34	51	36	40	105	38	12	27	41	55	71	62	36	51	40	37	32	36	20	59	41	36	63	58
"2mit"	1194	1553	437	1829	1220	1955	497	585	484	406	415	676	941	851	310	157	274	285	354	416	454	333	456	225	365	622	180	268	166	269	862	718	802	547	468	485	507	329
"2Pal"	2045	2132	894	2616	1949	2485	3095	2538	2450	2294	1290	1747	1750	1593	2542	2832	2892	2870	1927	2143	2117	2217	5847	5415	6095	5731	2734	2967	2764	3443	4534	3904	4452	4582	4771	3766	4116	3960
"3S18{}1090"	31	26	18	152	18	90	6	14	45	10	36	49	49	31	5	22	12	5	62	20	24	35	13	7	3	3	20	18	31	24	5	3	7	13	80	9	9	28
"3S18{}2989"	18	32	9	67	21	74	0	49	47	29	0	52	44	24	24	33	14	34	10	47	54	31	12	8	23	77	1	15	4	17	95	36	35	42	25	31	46	40
"3S18{}35"	36	75	45	84	80	130	28	66	45	35	32	67	36	54	55	37	51	80	52	37	43	33	47	58	27	75	68	63	72	57	36	72	38	66	52	66	49	80
"3S18{}3954"	174	255	73	438	383	404	270	220	226	214	189	274	342	264	289	303	336	197	238	253	223	218	465	332	345	424	250	314	288	271	336	683	545	475	353	400	489	356
"3S18{}3955"	185	250	92	526	376	429	340	265	252	264	221	267	402	305	360	401	351	316	241	284	270	269	505	361	437	479	213	337	331	350	476	722	507	457	391	466	463	369
"3S18{}4419"	48	16	9	84	22	14	24	73	93	39	28	72	65	64	48	115	26	82	49	75	69	60	125	83	120	288	32	87	77	96	59	257	81	42	146	171	154	155
"3S18{}853"	275	218	43	362	443	513	310	231	260	206	291	311	368	199	248	309	338	256	176	199	165	225	331	382	298	532	326	123	223	289	373	555	697	494	417	570	448	385
"412{}CG33267[iso-1]"	85	74	56	4	0	6	27	13	9	33	35	64	60	68	96	183	106	169	369	272	355	355	44	101	47	70	328	178	187	148	6	6	3	94	67	66	0	36
"4E-T"	5079	5483	1685	5832	4045	5721	5718	5546	5124	4724	3103	4375	5669	4401	4852	4723	4305	5411	4190	5038	4759	3984	5692	4461	5534	7793	3282	3911	4135	4431	10402	8978	9425	7444	6489	6360	6692	5347
"5-HT1A"	650	711	191	900	646	899	295	355	246	221	221	378	567	413	96	68	138	202	220	198	233	198	132	62	126	121	37	126	169	84	111	105	161	124	126	83	191	127
"5-HT1B"	105	180	22	161	98	162	111	45	50	55	51	110	117	64	61	57	108	48	37	66	82	47	43	54	71	80	64	48	24	21	106	63	81	94	43	46	52	27
"5-HT2A"	84	167	75	193	119	169	114	144	166	116	45	145	96	99	68	54	48	97	67	78	72	85	83	66	153	97	22	50	27	51	119	156	105	74	58	54	82	32
"5-HT2B"	123	164	11	247	158	235	93	78	37	92	128	147	158	137	51	12	64	51	58	102	93	61	29	24	28	43	11	54	32	30	31	53	37	16	32	30	80	38
